4129537,9983,20160712,0.000363
6949378,3429,20160706,0.008074
2166529,6928,20160727,0.000461
2166529,1808,20160727,0.000466
6172162,6500,20160708,0.001872
4005121,9983,20160706,0.160047
4347394,9983,20160716,0.464472
3094273,13602,20160727,0.001539
5139970,9983,20160729,0.001397
3237121,13602,20160703,0.001386
6224386,9983,20160716,0.001018
6488578,13602,20160712,0.980576
4164865,9983,20160703,0.000361
4164865,8059,20160706,0.000356
5468674,9983,20160713,0.002018
6258178,9144,20160706,0.443364
3659521,7341,20160727,0.001114
3659521,13181,20160717,0.001144
3659521,13602,20160718,0.001922
7333378,13602,20160704,0.001993
7333378,785,20160727,0.350441
4454914,2978,20160711,0.262664
6817282,8375,20160724,0.000793
3149569,10418,20160721,0.000322
6301186,1715,20160718,0.362281
6301186,4203,20160708,0.001609
2891521,13602,20160724,0.002665
3422977,13602,20160727,0.001815
4771330,13602,20160726,0.003124
4513282,11799,20160712,0.000310
3439873,13602,20160713,0.001968
6632962,13602,20160727,0.001968
6632962,10438,20160705,0.000790
6912514,9934,20160724,0.459514
2821891,10418,20160702,0.000361
3872515,10418,20160704,0.001620
3872515,2978,20160704,0.001650
2699011,13602,20160705,0.748645
5406214,3903,20160722,0.100645
5406214,2440,20160722,0.100645
3359491,10418,20160725,0.002590
4147459,5743,20160715,0.001793
5427718,4912,20160704,0.307026
5427718,662,20160704,0.475711
5427718,1528,20160704,0.411776
2848003,13602,20160702,0.001629
2726659,10842,20160724,0.590449
3649795,2978,20160723,0.000350
3649795,10418,20160701,0.000345
2612995,9983,20160703,0.000375
3808003,9983,20160721,0.001447
3812611,3992,20160721,0.001012
3425539,3992,20160719,0.000274
6853126,13181,20160721,0.285096
4251142,10609,20160707,0.339936
3442435,13602,20160713,0.000428
3182851,11986,20160731,0.001002
7175686,7774,20160706,0.000490
7175686,9983,20160717,0.000379
3199747,8059,20160712,0.000346
3199747,3429,20160718,0.000360
6140422,6480,20160728,0.000332
4001029,13602,20160704,0.000404
3873541,2978,20160718,0.000344
